detectorID,laneType,speed
AID01101,Fast Lane,69.34513888888888
AID01101,Middle Lane,60.26284722222222
AID01101,Slow Lane,54.34965277777778
AID01102,Fast Lane,75.07986111111111
AID01102,Middle Lane,68.76631944444445
AID01102,Slow Lane,67.0982638888889
AID01103,Fast Lane,63.313541666666666
AID01103,Middle Lane,62.07465277777778
AID01103,Slow Lane,51.03993055555556
AID01104,Fast Lane,62.14618055555555
AID01104,Slow Lane,62.66041666666667
AID01105,Fast Lane,71.375
AID01105,Slow Lane,68.24097222222223
AID01106,Fast Lane,53.18888888888889
AID01106,Slow Lane,49.030208333333334
AID01107,Fast Lane,62.05173611111111
AID01107,Slow Lane,54.56979166666667
AID01108,Fast Lane,67.6
AID01108,Slow Lane,68.31284722222222
AID01109,Fast Lane,60.31527777777778
AID01109,Middle Lane,57.14618055555555
AID01109,Slow Lane,51.66180555555555
AID01110,Fast Lane,53.339930555555554
AID01110,Middle Lane,52.63263888888889
AID01110,Slow Lane,51.32395833333333
AID01111,Fast Lane,61.15347222222222
AID01111,Middle Lane 1,51.028125
AID01111,Middle Lane 2,57.09097222222222
AID01111,Slow Lane,45.528819444444444
AID01112,Fast Lane,56.28993055555556
AID01112,Middle Lane 1,47.19479166666667
AID01112,Middle Lane 2,56.62951388888889
AID01112,Slow Lane,38.935763888888886
AID01113,Fast Lane,71.45520833333333
AID01113,Middle Lane,66.39409722222223
AID01113,Slow Lane,65.41527777777777
AID01114,Fast Lane,65.68229166666667
AID01114,Middle Lane,59.640625
AID01114,Slow Lane,55.92604166666667
AID01115,Fast Lane,64.20520833333333
AID01115,Middle Lane,60.21875
AID01115,Slow Lane,52.640277777777776
AID01116,Fast Lane,68.22291666666666
AID01116,Slow Lane,65.67083333333333
AID01117,Fast Lane,63.479166666666664
AID01117,Middle Lane 1,48.084375
AID01117,Middle Lane 2,59.01284722222222
AID01117,Slow Lane,48.50972222222222
AID01118,Fast Lane,59.80486111111111
AID01118,Middle Lane,52.52152777777778
AID01118,Slow Lane,46.00763888888889
AID01120,Fast Lane,58.865625
AID01120,Middle Lane,55.565625
AID01120,Slow Lane,42.42881944444444
AID01121,Fast Lane,64.28958333333334
AID01121,Slow Lane,60.5125
AID01122,Fast Lane,63.27916666666667
AID01122,Slow Lane,60.972569444444446
AID01123,Fast Lane,45.83784722222222
AID01123,Slow Lane,45.35
AID01124,Fast Lane,70.24209795067732
AID01124,Slow Lane,48.21118443904133
AID01125,Fast Lane,78.65138888888889
AID01125,Slow Lane,74.51944444444445
AID01126,Fast Lane,79.41666666666667
AID01126,Slow Lane,73.03020833333333
AID01127,Fast Lane,78.20729166666666
AID01127,Slow Lane,72.69548611111111
AID01128,Fast Lane,79.15526224383467
AID01128,Slow Lane,75.40569642236888
AID01129,Fast Lane,72.91111111111111
AID01129,Slow Lane,71.0045138888889
AID01130,Fast Lane,80.9329861111111
AID01130,Middle Lane 1,78.73715277777778
AID01130,Middle Lane 2,75.96284722222222
AID01130,Slow Lane,77.22430555555556
AID01131,Fast Lane,83.215625
AID01131,Slow Lane,80.246875
AID01132,Fast Lane,85.36805555555556
AID01132,Middle Lane,77.56979166666666
AID01132,Slow Lane,74.89895833333334
AID01133,Fast Lane,83.49097222222223
AID01133,Slow Lane,74.28854166666666
AID01134,Fast Lane,80.88567445102824
AID01134,Slow Lane,79.71732310909725
AID01135,Fast Lane,79.33333333333333
AID01135,Slow Lane,87.52361111111111
AID01136,Fast Lane,79.49305555555556
AID01136,Slow Lane,78.17916666666666
AID01201,Fast Lane,62.77986111111111
AID01201,Slow Lane,49.69756944444445
AID01202,Fast Lane,59.57881944444444
AID01202,Slow Lane,54.63090277777778
AID01203,Fast Lane,65.47291666666666
AID01203,Slow Lane,63.201388888888886
AID01204,Fast Lane,36.66388888888889
AID01204,Middle Lane,39.263194444444444
AID01204,Slow Lane,41.881597222222226
AID01206,Fast Lane,51.322916666666664
AID01206,Slow Lane,49.26631944444444
AID01207,Fast Lane,61.89791666666667
AID01207,Middle Lane 1,51.024652777777774
AID01207,Middle Lane 2,61.11006944444444
AID01207,Slow Lane,48.113194444444446
AID01208,Fast Lane,64.84444444444445
AID01208,Slow Lane,59.35208333333333
AID01209,Fast Lane,70.87326388888889
AID01209,Middle Lane,67.10798611111112
AID01209,Slow Lane,51.56944444444444
AID01210,Fast Lane,63.372569444444444
AID01210,Middle Lane,62.98923611111111
AID01210,Slow Lane,60.020833333333336
AID01211,Fast Lane,66.51354166666667
AID01211,Middle Lane,65.65
AID01211,Slow Lane,59.83298611111111
AID01212,Fast Lane,76.40625
AID01212,Middle Lane,70.17083333333333
AID01212,Slow Lane,70.35451388888889
AID01213,Fast Lane,46.030902777777776
AID01213,Middle Lane 1,44.34513888888889
AID01213,Middle Lane 2,45.49166666666667
AID01213,Slow Lane,46.89756944444444
AID01214,Fast Lane,48.576388888888886
AID01214,Middle Lane,40.78854166666667
AID01214,Slow Lane,41.68472222222222
AID01215,Fast Lane,70.31608197290726
AID01215,Slow Lane,63.61896491837444
AID01216,Fast Lane,70.17569444444445
AID01216,Slow Lane,68.11840277777777
AID01217,Fast Lane,67.44479166666666
AID01217,Middle Lane 1,67.65555555555555
AID01217,Middle Lane 2,67.24131944444444
AID01217,Slow Lane,74.26319444444445
AID01218,Fast Lane,61.342013888888886
AID01218,Middle Lane 2,60.52048611111111
AID01219,Fast Lane,68.43819444444445
AID01219,Slow Lane,63.777430555555554
AID01220,Fast Lane,68.10694444444445
AID01220,Slow Lane,69.30902777777777
AID01221,Fast Lane,51.786458333333336
AID01221,Middle Lane,47.69305555555555
AID01221,Slow Lane,42.732638888888886
AID01222,Fast Lane,72.08472222222223
AID01222,Middle Lane,67.29166666666667
AID01222,Slow Lane,56.25486111111111
AID01223,Fast Lane,71.39826388888889
AID01223,Middle Lane,67.47152777777778
AID01223,Slow Lane,62.16458333333333
AID02104,Fast Lane,79.37708333333333
AID02104,Slow Lane,73.44722222222222
AID02105,Fast Lane,73.04930555555555
AID02105,Slow Lane,68.13506944444444
AID02106,Fast Lane,75.78888888888889
AID02106,Middle Lane,71.74513888888889
AID02106,Slow Lane,73.6829861111111
AID02107,Fast Lane,82.81388888888888
AID02107,Middle Lane,79.84548611111111
AID02107,Slow Lane,79.34965277777778
AID02108,Fast Lane,90.7658909343522
AID02108,Middle Lane,82.58700937825634
AID02108,Slow Lane,75.24244529350469
AID02109,Fast Lane,95.18797776233495
AID02109,Middle Lane,87.90444753300903
AID02109,Slow Lane,81.29812369701182
AID02110,Fast Lane,94.940625
AID02110,Middle Lane,87.13263888888889
AID02110,Slow Lane,82.090625
AID02111,Fast Lane,92.13645833333334
AID02111,Middle Lane,81.30277777777778
AID02111,Slow Lane,74.96319444444444
AID02112,Fast Lane,90.15486111111112
AID02112,Slow Lane,82.10208333333334
AID02113,Fast Lane,84.29722222222222
AID02113,Slow Lane,77.21458333333334
AID02114,Fast Lane,79.94930555555555
AID02114,Slow Lane,74.85972222222222
AID02115,Fast Lane,75.56076388888889
AID02115,Slow Lane,66.46284722222222
AID02116,Fast Lane,69.44097222222223
AID02116,Middle Lane,66.90347222222222
AID02117,Fast Lane,78.01909722222223
AID02117,Slow Lane,78.11458333333333
AID02118,Fast Lane,66.1673611111111
AID02118,Middle Lane 1,67.88923611111112
AID02118,Middle Lane 2,64.61423611111111
AID02118,Middle Lane 3,64.10138888888889
AID02118,Slow Lane,67.89618055555556
AID02119,Fast Lane,86.95069444444445
AID02119,Slow Lane,78.46354166666667
AID02120,Fast Lane,93.51979166666666
AID02120,Middle Lane 1,83.85555555555555
AID02120,Middle Lane 2,88.62291666666667
AID02120,Slow Lane,78.63229166666666
AID02121,Fast Lane,88.73472222222222
AID02121,Middle Lane,83.8795138888889
AID02121,Slow Lane,79.70416666666667
AID02122,Fast Lane,94.10659722222222
AID02122,Middle Lane,87.66041666666666
AID02122,Slow Lane,83.45347222222222
AID02123,Fast Lane,95.13715277777777
AID02123,Middle Lane,86.51388888888889
AID02123,Slow Lane,82.76944444444445
AID02124,Fast Lane,82.64548611111111
AID02124,Slow Lane,73.37638888888888
AID02125,Fast Lane,74.353125
AID02125,Slow Lane,66.70868055555556
AID02126,Fast Lane,83.68090277777777
AID02126,Slow Lane,73.77708333333334
AID02127,Fast Lane,77.46405001736714
AID02127,Slow Lane,72.99235845779785
AID02201,Fast Lane,77.12430555555555
AID02201,Slow Lane,73.63263888888889
AID02202,Fast Lane,77.43020833333334
AID02202,Slow Lane,74.69548611111111
AID02203,Fast Lane,70.37916666666666
AID02203,Slow Lane,66.84201388888889
AID02204,Fast Lane,80.48194444444445
AID02204,Slow Lane,71.78090277777778
AID02205,Fast Lane,90.66631944444444
AID02205,Slow Lane,82.48020833333334
AID02206,Fast Lane,91.89027777777778
AID02206,Slow Lane,82.88368055555556
AID02207,Fast Lane,84.12222222222222
AID02207,Middle Lane,76.17465277777778
AID02207,Slow Lane,71.64444444444445
AID02208,Fast Lane,87.66180555555556
AID02208,Middle Lane,79.75173611111111
AID02208,Slow Lane,73.9642361111111
AID02209,Fast Lane,98.02430555555556
AID02209,Middle Lane,87.84201388888889
AID02209,Slow Lane,80.25694444444444
AID02210,Fast Lane,93.73541666666667
AID02210,Middle Lane,86.99201388888889
AID02210,Slow Lane,80.19027777777778
AID02211,Fast Lane,93.60694444444445
AID02211,Middle Lane,84.43576388888889
AID02211,Slow Lane,76.34965277777778
AID02212,Fast Lane,80.18854166666667
AID02212,Middle Lane,72.33611111111111
AID02212,Slow Lane,64.87708333333333
AID02214,Fast Lane,79.39548611111111
AID02214,Middle Lane 1,71.91458333333334
AID02214,Middle Lane 2,73.7875
AID02214,Slow Lane,70.02048611111111
AID02215,Fast Lane,56.35381944444445
AID02215,Slow Lane,81.29791666666667
AID03101,Fast Lane,72.29652777777778
AID03101,Middle Lane,67.07986111111111
AID03101,Slow Lane,66.79791666666667
AID03102,Fast Lane,51.515277777777776
AID03102,Slow Lane,48.421875
AID03103,Fast Lane,81.56631944444445
AID03103,Slow Lane,76.45694444444445
AID03104,Fast Lane,48.15833333333333
AID03106,Fast Lane,108.8482638888889
AID03106,Middle Lane,101.56909722222223
AID03106,Slow Lane,92.82604166666667
AID03107,Fast Lane,98.43923611111111
AID03107,Middle Lane,88.87638888888888
AID03107,Slow Lane,85.39375
AID03108,Fast Lane,102.8704861111111
AID03108,Middle Lane,95.38194444444444
AID03108,Slow Lane,86.19652777777777
AID03109,Fast Lane,105.39201388888888
AID03109,Middle Lane,94.51979166666666
AID03109,Slow Lane,86.75625
AID03110,Fast Lane,109.296875
AID03110,Middle Lane,101.42222222222222
