AID_ID_Number,District,Road_EN,Latitude,Longitude
AID01101,Southern,Aberdeen Praya Road near Abba House - Eastbound ,22.248091,114.152525
AID01102,Southern,Aberdeen Praya Road near Hoi Fai Mansion - Eastbound ,22.24712681,114.1577149
AID01103,Southern,Wong Chuk Hang Road near Aberdeen Technical School - Eastbound ,22.24863539,114.1621481
AID01104,Southern,Wong Chuk Hang Road Flyover near AXA Southside - Eastbound ,22.24837379,114.1658151
AID01105,Southern,Wong Chuk Hang Road Flyover near Benefit Industrial Factory Building - Eastbound ,22.2496834,114.1686381
AID01106,Southern,Wong Chuk Hang Road near Hong Kong Academy of Medicine - Eastbound ,22.25044211,114.1718782
AID01107,Southern,Aberdeen Tunnel near Wong Chuk Hang Hospital - Eastbound ,22.24999065,114.1762923
AID01108,Wan Chai,Wong Nai Chung Gap Flyover near Racecourse - Northbound ,22.27186288,114.1801247
AID01109,Wan Chai,Canal Road Flyover near Cricket Club - Northbound ,22.27659491,114.1810758
AID01110,Wan Chai,Canal Road Flyover near Wan Chai Fire Station - Northbound ,22.279356,114.181217
AID01111,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Northbound (1) ,22.30412026,114.1809989
AID01112,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Northbound (2) ,22.30492398,114.1813386
AID01113,Yau Tsim Mong,Princess Margaret Road near Parc Palais- Northbound  ,22.31029,114.17816
AID01114,Kowloon City,Princess Margaret Road near Oi Man Estate - Northbound ,22.31330444,114.1769423
AID01115,Kowloon City,Princess Margaret Road near Yu Chun Keung Memorial College - Northbound ,22.31850605,114.1789805
AID01116,Kowloon City,Princess Margaret Road near St. John Ambulance Brigade Kowloon Depot - Northbound ,22.32074565,114.1786797
AID01117,Kowloon City,Waterloo Road near St. George Apartments - Northbound ,22.32435789,114.1783109
AID01118,Kowloon City,Waterloo Road near Kowloon Tong Club - Northbound ,22.32843068,114.178476
AID01119,Kowloon City,Waterloo Road near Durham Road - Northbound ,22.33252153,114.1787672
AID01120,Kowloon City,Waterloo Road near Kowloon East Barracks(1) - Northbound ,22.33496881,114.1788837
AID01121,Kowloon City,Waterloo Road near Kowloon East Barracks(2) - Northbound ,22.33848171,114.1791459
AID01122,Kowloon City,Waterloo Road near Warwick Road - Northbound ,22.34191,114.17893
AID01123,Kowloon City,Lion Rock Tunnel Road near Entrance from Kowloon - Northbound ,22.34521846,114.1813302
AID01124,Sha Tin,Lion Rock Tunnel Road near Toll Plaza - Northbound ,22.3592791,114.1751851
AID01125,Sha Tin,Lion Rock Tunnel Road near Worldwide Gardens - Northbound ,22.3634241,114.1798453
AID01126,Sha Tin,Lion Rock Tunnel Road near Kak Tin Village - Northbound (1) ,22.36544683,114.1836319
AID01127,Sha Tin,Lion Rock Tunnel Road near Kak Tin Village - Northbound (2) ,22.36700899,114.1859817
AID01128,Sha Tin,Lion Rock Tunnel Road near Fung Shing Court - Northbound ,22.37114477,114.1892152
AID01129,Sha Tin,Sha Tin Road near Pok Hong Estate - Northbound ,22.37381747,114.1929731
AID01130,Sha Tin,Sha Tin Road near Christ College - Northbound ,22.37448544,114.1957016
AID01131,Sha Tin,Sha Tin Road near Sha Tin Wai New Village - Northbound ,22.37624602,114.1986634
AID01132,Sha Tin,Sha Tin Road near Prince of Wales Hospital - Northbound ,22.3809075,114.2005981
AID01133,Sha Tin,Sha Tin Road near Shing Mun River - Northbound(1) ,22.38371,114.20142
AID01134,Sha Tin,Sha Tin Road near Shing Mun River - Northbound ,22.38752486,114.2006753
