AID_ID_Number,lane_id,speed,occupancy,volume
AID01101,Fast Lane,70,3,5
AID01101,Middle Lane,66,1,1
AID01101,Slow Lane,70,0,0
AID01102,Fast Lane,91,0,1
AID01102,Middle Lane,66,1,2
AID01102,Slow Lane,61,0,1
AID01103,Fast Lane,75,0,2
AID01103,Middle Lane,75,4,4
AID01103,Slow Lane,45,5,3
AID01104,Fast Lane,94,0,2
AID01104,Slow Lane,79,0,1
AID01105,Fast Lane,105,0,3
AID01105,Slow Lane,85,1,3
AID01106,Fast Lane,60,1,3
AID01106,Slow Lane,49,6,4
AID01107,Fast Lane,47,0,1
AID01107,Slow Lane,64,0,1
AID01108,Fast Lane,71,0,2
AID01108,Slow Lane,66,2,1
AID01109,Fast Lane,77,2,4
AID01109,Middle Lane,70,0,0
AID01109,Slow Lane,70,0,0
AID01110,Fast Lane,70,0,0
AID01110,Middle Lane,80,0,2
AID01110,Slow Lane,76,0,1
AID01111,Fast Lane,52,9,15
AID01111,Middle Lane 1,54,6,10
AID01111,Middle Lane 2,59,1,4
AID01111,Slow Lane,58,2,3
AID01112,Fast Lane,61,8,15
AID01112,Middle Lane 1,41,10,14
AID01112,Middle Lane 2,62,3,6
AID01112,Slow Lane,48,2,6
AID01113,Fast Lane,64,6,11
AID01113,Middle Lane,58,10,9
AID01113,Slow Lane,59,1,3
AID01114,Fast Lane,74,4,7
AID01114,Middle Lane,70,3,8
AID01114,Slow Lane,63,2,4
AID01115,Fast Lane,74,5,6
AID01115,Middle Lane,61,8,8
AID01115,Slow Lane,70,0,0
AID01116,Fast Lane,75,2,5
AID01116,Slow Lane,67,6,6
AID01117,Fast Lane,62,6,9
AID01117,Middle Lane 1,55,1,2
AID01117,Middle Lane 2,59,9,12
AID01117,Slow Lane,56,1,1
AID01118,Fast Lane,65,3,6
AID01118,Middle Lane,57,6,10
AID01118,Slow Lane,45,6,7
AID01119,Fast Lane,36,3,3
AID01119,Middle Lane,23,20,5
AID01119,Slow Lane,38,7,5
AID01120,Fast Lane,58,9,10
AID01120,Middle Lane,52,7,8
AID01120,Slow Lane,35,11,7
AID01121,Fast Lane,69,9,16
AID01121,Slow Lane,66,3,5
AID01122,Fast Lane,76,4,8
AID01122,Slow Lane,71,5,8
AID01123,Fast Lane,45,3,8
AID01123,Slow Lane,48,2,5
AID01124,Fast Lane,77,17,15
AID01124,Slow Lane,65,5,9
AID01125,Fast Lane,75,2,5
AID01125,Slow Lane,69,5,6
AID01126,Fast Lane,86,5,11
AID01126,Slow Lane,78,2,8
AID01127,Fast Lane,98,8,9
AID01127,Slow Lane,91,10,8
AID01128,Fast Lane,90,4,9
AID01128,Slow Lane,76,4,6
AID01129,Fast Lane,75,4,6
AID01129,Slow Lane,74,1,4
AID01130,Fast Lane,97,6,6
AID01130,Middle Lane 1,90,2,3
AID01130,Middle Lane 2,84,1,2
AID01130,Slow Lane,91,1,3
AID01131,Fast Lane,99,2,4
AID01131,Slow Lane,93,2,5
AID01132,Fast Lane,93,2,4
AID01132,Middle Lane,73,5,6
AID01132,Slow Lane,76,2,2
AID01133,Fast Lane,84,4,8
AID01133,Slow Lane,85,2,3
AID01134,Fast Lane,74,6,12
AID01134,Slow Lane,74,4,4
AID01135,Fast Lane,71,3,5
AID01135,Slow Lane,94,4,8
AID01136,Fast Lane,76,4,6
AID01136,Slow Lane,89,2,4
AID01201,Fast Lane,63,2,5
AID01201,Slow Lane,49,11,10
AID01202,Fast Lane,66,6,7
AID01202,Slow Lane,56,1,2
AID01203,Fast Lane,56,2,2
AID01203,Slow Lane,50,0,0
AID01204,Fast Lane,28,0,1
AID01204,Middle Lane,22,5,2
AID01204,Slow Lane,50,0,0
AID01205,Fast Lane,50,0,0
AID01205,Middle Lane,47,1,1
AID01205,Slow Lane,50,0,0
AID01206,Fast Lane,52,1,2
AID01206,Slow Lane,44,2,3
AID01207,Fast Lane,60,7,9
AID01207,Middle Lane 1,56,1,2
AID01207,Middle Lane 2,54,11,12
AID01207,Slow Lane,67,0,1
AID01208,Fast Lane,58,11,9
AID01208,Slow Lane,64,5,6
AID01209,Fast Lane,68,6,9
AID01209,Middle Lane,66,2,4
AID01209,Slow Lane,30,6,5
AID01210,Fast Lane,66,3,5
AID01210,Middle Lane,69,2,3
AID01210,Slow Lane,58,1,3
AID01211,Fast Lane,64,3,5
AID01211,Middle Lane,54,4,5
AID01211,Slow Lane,50,3,4
AID01212,Fast Lane,68,1,1
AID01212,Middle Lane,56,6,5
AID01212,Slow Lane,66,5,3
AID01213,Fast Lane,63,2,3
AID01213,Middle Lane 1,65,2,3
AID01213,Middle Lane 2,57,3,4
AID01213,Slow Lane,55,3,7
AID01214,Fast Lane,48,3,5
AID01214,Middle Lane,38,10,8
AID01214,Slow Lane,34,7,7
AID01215,Fast Lane,74,6,10
AID01215,Slow Lane,69,8,13
AID01216,Fast Lane,87,3,5
AID01216,Slow Lane,77,2,3
AID01217,Fast Lane,68,6,11
AID01217,Middle Lane 1,57,5,2
AID01217,Middle Lane 2,74,4,5
AID01217,Slow Lane,85,6,4
AID01218,Fast Lane,42,0,1
AID01218,Middle Lane 2,51,6,3
AID01219,Fast Lane,85,0,1
AID01219,Slow Lane,79,1,2
AID01220,Fast Lane,77,2,4
AID01220,Slow Lane,76,2,2
AID01221,Fast Lane,80,1,4
AID01221,Middle Lane,52,5,2
AID01221,Slow Lane,58,3,3
AID01222,Fast Lane,70,0,0
AID01222,Middle Lane,68,4,5
AID01222,Slow Lane,61,3,3
AID01223,Fast Lane,78,1,3
AID01223,Middle Lane,67,2,3
AID01223,Slow Lane,70,0,0
AID02104,Fast Lane,96,1,2
AID02104,Slow Lane,74,2,1
AID02105,Fast Lane,70,0,0
AID02105,Slow Lane,70,0,0
AID02106,Fast Lane,77,0,2
AID02106,Middle Lane,70,0,0
AID02106,Slow Lane,86,4,6
