detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,76.44166666666666,148,295
AID01101,Middle Lane,66.33333333333333,436,430
AID01101,Slow Lane,55.391666666666666,148,178
AID01102,Fast Lane,74.15,110,235
AID01102,Middle Lane,67.43333333333334,360,454
AID01102,Slow Lane,66.74166666666666,143,267
AID01103,Fast Lane,79.89166666666667,224,413
AID01103,Middle Lane,73.03333333333333,428,588
AID01103,Slow Lane,58.28333333333333,281,207
AID01104,Fast Lane,77.48333333333333,267,394
AID01104,Slow Lane,68.04166666666667,291,348
AID01105,Fast Lane,80.65,200,406
AID01105,Slow Lane,77.71666666666667,238,407
AID01106,Fast Lane,53.475,536,710
AID01106,Slow Lane,48.125,446,329
AID01107,Fast Lane,68.66666666666667,555,771
AID01107,Slow Lane,57.5,407,255
AID01108,Fast Lane,74.79166666666667,502,753
AID01108,Slow Lane,73.09166666666667,211,352
AID01109,Fast Lane,66.61666666666666,606,713
AID01109,Middle Lane,59.825,348,392
AID01109,Slow Lane,52.525,802,874
AID01110,Fast Lane,59.96666666666667,602,738
AID01110,Middle Lane,52.2,1025,1050
AID01110,Slow Lane,53.13333333333333,932,764
AID01111,Fast Lane,67.66666666666667,839,1218
AID01111,Middle Lane 1,61.416666666666664,667,686
AID01111,Middle Lane 2,62.68333333333333,557,477
AID01111,Slow Lane,54.983333333333334,476,679
AID01112,Fast Lane,62.75833333333333,770,863
AID01112,Middle Lane 1,54.78333333333333,417,545
AID01112,Middle Lane 2,64.56666666666666,674,827
AID01112,Slow Lane,46.9,764,822
AID01113,Fast Lane,73.01666666666667,333,650
AID01113,Middle Lane,67.525,464,761
AID01113,Slow Lane,64.31666666666666,127,278
AID01114,Fast Lane,71.95,406,672
AID01114,Middle Lane,65.60833333333333,504,776
AID01114,Slow Lane,58.983333333333334,268,359
AID01115,Fast Lane,64.28333333333333,501,748
AID01115,Middle Lane,61.983333333333334,283,397
AID01115,Slow Lane,53.5,409,528
AID01116,Fast Lane,68.775,484,753
AID01116,Slow Lane,64.4,276,405
AID01117,Fast Lane,75.50833333333334,475,744
AID01117,Middle Lane 1,45.24166666666667,737,510
AID01117,Middle Lane 2,60.90833333333333,873,901
AID01117,Slow Lane,45.75,50,36
AID01118,Fast Lane,65.44166666666666,473,621
AID01118,Middle Lane,54.94166666666667,942,852
AID01118,Slow Lane,49.25,325,347
AID01119,Fast Lane,47.8,316,334
AID01119,Middle Lane,42.925,1396,1065
AID01119,Slow Lane,42.19166666666667,938,568
AID01120,Fast Lane,69.7,570,813
AID01120,Middle Lane,66.60833333333333,524,653
AID01120,Slow Lane,48.6,747,481
AID01121,Fast Lane,70.45,595,848
AID01121,Slow Lane,67.70833333333333,281,437
AID01122,Fast Lane,75.0,577,940
AID01122,Slow Lane,73.01666666666667,188,326
AID01123,Fast Lane,49.391666666666666,1129,1381
AID01123,Slow Lane,46.525,902,863
AID01124,Fast Lane,79.55833333333334,643,1242
AID01124,Slow Lane,70.65833333333333,649,909
AID01125,Fast Lane,78.275,659,1195
