detectorID,laneType,speed,totalOccupancy,totalVolume,Latitude,Longitude
AID01101,Fast Lane,68.45833333333333,1667,598,22.248091,114.152525
AID01101,Middle Lane,59.90833333333333,2001,603,22.248091,114.152525
AID01101,Slow Lane,48.24166666666667,1372,214,22.248091,114.152525
AID01102,Fast Lane,74.075,1220,496,22.24712681,114.1577149
AID01102,Middle Lane,65.74166666666666,1847,629,22.24712681,114.1577149
AID01102,Slow Lane,63.93333333333333,1082,369,22.24712681,114.1577149
AID01103,Fast Lane,68.075,2093,721,22.24863539,114.1621481
AID01103,Middle Lane,59.9,3345,891,22.24863539,114.1621481
AID01103,Slow Lane,52.56666666666667,1639,218,22.24863539,114.1621481
AID01104,Fast Lane,67.96666666666667,2007,665,22.24837379,114.1658151
AID01104,Slow Lane,59.18333333333333,2358,570,22.24837379,114.1658151
AID01105,Fast Lane,69.88333333333334,1874,636,22.2496834,114.1686381
AID01105,Slow Lane,65.625,2410,746,22.2496834,114.1686381
AID01106,Fast Lane,48.35,3131,1003,22.25044211,114.1718782
AID01106,Slow Lane,44.74166666666667,2005,495,22.25044211,114.1718782
AID01107,Fast Lane,55.46666666666667,3029,1041,22.24999065,114.1762923
AID01107,Slow Lane,48.9,1870,469,22.24999065,114.1762923
AID01108,Fast Lane,51.10833333333333,2795,686,22.27186288,114.1801247
AID01108,Slow Lane,46.24166666666667,3276,516,22.27186288,114.1801247
AID01109,Fast Lane,48.925,2763,616,22.27659491,114.1810758
AID01109,Middle Lane,50.78333333333333,1959,502,22.27659491,114.1810758
AID01109,Slow Lane,37.86666666666667,6578,1255,22.27659491,114.1810758
AID01110,Fast Lane,33.2,6762,1021,22.279356,114.181217
AID01110,Middle Lane,28.83333333333333,7646,1192,22.279356,114.181217
AID01110,Slow Lane,29.266666666666666,6913,1114,22.279356,114.181217
AID01111,Fast Lane,52.9,4908,1493,22.30412026,114.1809989
AID01111,Middle Lane 1,38.525,5226,832,22.30412026,114.1809989
AID01111,Middle Lane 2,50.43333333333333,2795,621,22.30412026,114.1809989
AID01111,Slow Lane,28.516666666666666,6687,743,22.30412026,114.1809989
AID01112,Fast Lane,51.65546218487395,4351,1152,22.30492398,114.1813386
AID01112,Middle Lane 1,38.285714285714285,4552,666,22.30492398,114.1813386
AID01112,Middle Lane 2,51.41176470588236,3746,1006,22.30492398,114.1813386
AID01112,Slow Lane,25.747899159663863,9010,1021,22.30492398,114.1813386
AID01113,Fast Lane,69.96666666666667,2220,795,22.31029,114.17816
AID01113,Middle Lane,63.60833333333333,2389,735,22.31029,114.17816
AID01113,Slow Lane,54.25833333333333,1749,361,22.31029,114.17816
AID01114,Fast Lane,62.60833333333333,2221,779,22.31330444,114.1769423
AID01114,Middle Lane,56.625,2533,824,22.31330444,114.1769423
AID01114,Slow Lane,53.30833333333333,1805,471,22.31330444,114.1769423
AID01115,Fast Lane,60.35,2236,844,22.31850605,114.1789805
AID01115,Middle Lane,59.46666666666667,1308,432,22.31850605,114.1789805
AID01115,Slow Lane,43.2,2757,640,22.31850605,114.1789805
AID01116,Fast Lane,59.38333333333333,3026,830,22.32074565,114.1786797
AID01116,Slow Lane,60.78333333333333,1446,436,22.32074565,114.1786797
AID01117,Fast Lane,39.425,5686,806,22.32435789,114.1783109
AID01117,Middle Lane 1,4.716666666666667,10536,82,22.32435789,114.1783109
AID01117,Middle Lane 2,30.6,7949,1043,22.32435789,114.1783109
AID01117,Slow Lane,5.925,9121,32,22.32435789,114.1783109
AID01118,Fast Lane,16.991666666666667,9330,556,22.32843068,114.178476
AID01118,Middle Lane,15.791666666666666,10141,791,22.32843068,114.178476
AID01118,Slow Lane,30.125,3802,452,22.32843068,114.178476
AID01120,Fast Lane,57.71666666666667,2330,946,22.33496881,114.1788837
AID01120,Middle Lane,50.125,2628,753,22.33496881,114.1788837
AID01120,Slow Lane,27.558333333333334,5325,574,22.33496881,114.1788837
AID01121,Fast Lane,62.69166666666667,2161,988,22.33848171,114.1791459
AID01121,Slow Lane,59.10833333333333,1214,380,22.33848171,114.1791459
AID01122,Fast Lane,64.975,2362,1066,22.34191,114.17893
AID01122,Slow Lane,61.00833333333333,1158,335,22.34191,114.17893
AID01123,Fast Lane,40.36666666666667,6529,1489,22.34521846,114.1813302
AID01123,Slow Lane,36.725,5046,1006,22.34521846,114.1813302
AID01124,Fast Lane,69.45833333333333,3391,1378,22.3592791,114.1751851
