detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,71.05,475,177
AID01101,Middle Lane,59.825,1001,291
AID01101,Slow Lane,55.19166666666667,683,106
AID01102,Fast Lane,73.29166666666667,360,144
AID01102,Middle Lane,68.58333333333333,890,315
AID01102,Slow Lane,66.50833333333334,521,150
AID01103,Fast Lane,68.05833333333334,885,318
AID01103,Middle Lane,64.95833333333333,1235,364
AID01103,Slow Lane,49.3,686,85
AID01104,Fast Lane,63.99166666666667,845,297
AID01104,Slow Lane,62.28333333333333,971,269
AID01105,Fast Lane,72.1,928,338
AID01105,Slow Lane,70.39166666666667,848,289
AID01106,Fast Lane,54.4,1337,438
AID01106,Slow Lane,50.13333333333333,670,137
AID01107,Fast Lane,60.25833333333333,1337,454
AID01107,Slow Lane,51.13333333333333,662,121
AID01108,Fast Lane,71.88333333333334,1099,427
AID01108,Slow Lane,72.68333333333334,233,107
AID01109,Fast Lane,64.58333333333333,1419,466
AID01109,Middle Lane,61.641666666666666,400,137
AID01109,Slow Lane,55.74166666666667,898,262
AID01110,Fast Lane,60.46666666666667,1149,357
AID01110,Middle Lane,58.041666666666664,1472,485
AID01110,Slow Lane,60.108333333333334,713,213
AID01111,Fast Lane,65.60833333333333,1510,507
AID01111,Middle Lane 1,62.7,1007,308
AID01111,Middle Lane 2,65.19166666666666,764,224
AID01111,Slow Lane,58.875,1076,419
AID01112,Fast Lane,59.641666666666666,1206,349
AID01112,Middle Lane 1,58.325,712,212
AID01112,Middle Lane 2,62.6,1141,355
AID01112,Slow Lane,47.416666666666664,2163,522
AID01113,Fast Lane,75.63333333333334,505,206
AID01113,Middle Lane,70.45,758,257
AID01113,Slow Lane,69.09166666666667,345,63
AID01114,Fast Lane,67.08333333333333,520,191
AID01114,Middle Lane,62.233333333333334,816,268
AID01114,Slow Lane,60.93333333333333,577,107
AID01115,Fast Lane,69.0,556,223
AID01115,Middle Lane,64.76666666666667,520,168
AID01115,Slow Lane,59.333333333333336,491,162
AID01116,Fast Lane,68.68333333333334,507,212
AID01116,Slow Lane,61.625,490,171
AID01117,Fast Lane,72.53333333333333,384,211
AID01117,Middle Lane 1,52.00833333333333,446,107
AID01117,Middle Lane 2,63.083333333333336,815,295
AID01117,Slow Lane,50.858333333333334,278,69
AID01118,Fast Lane,67.18333333333334,445,189
AID01118,Middle Lane,60.541666666666664,920,328
AID01118,Slow Lane,50.391666666666666,349,97
AID01120,Fast Lane,65.61666666666666,371,184
AID01120,Middle Lane,59.575,706,242
AID01120,Slow Lane,48.90833333333333,726,159
AID01121,Fast Lane,67.64166666666667,426,228
AID01121,Slow Lane,59.9,496,171
AID01122,Fast Lane,69.30833333333334,503,250
AID01122,Slow Lane,60.983333333333334,441,154
AID01123,Fast Lane,54.425,1944,545
AID01123,Slow Lane,44.525,1501,329
AID01124,Fast Lane,76.675,1057,432
AID01124,Slow Lane,53.13333333333333,963,292
AID01125,Fast Lane,81.45833333333333,806,347
AID01125,Slow Lane,74.525,882,278
AID01126,Fast Lane,83.19166666666666,743,350
AID01126,Slow Lane,72.78333333333333,1161,395
AID01127,Fast Lane,81.85,794,336
AID01127,Slow Lane,73.59166666666667,1210,407
AID01128,Fast Lane,84.13333333333334,601,276
AID01128,Slow Lane,76.475,1092,386
AID01129,Fast Lane,77.325,564,242
AID01129,Slow Lane,73.34166666666667,1165,414
AID01130,Fast Lane,82.975,362,173
AID01130,Middle Lane 1,78.20833333333333,341,112
AID01130,Middle Lane 2,76.91666666666667,673,247
AID01130,Slow Lane,77.60833333333333,329,112
AID01131,Fast Lane,86.26666666666667,338,161
AID01131,Slow Lane,78.3,629,245
AID01132,Fast Lane,83.54166666666667,341,159
AID01132,Middle Lane,76.95,761,289
AID01132,Slow Lane,76.20833333333333,247,48
AID01133,Fast Lane,86.70833333333333,337,161
AID01133,Slow Lane,76.95,631,229
AID01134,Fast Lane,85.01666666666667,334,178
AID01134,Slow Lane,80.225,415,202
AID01135,Fast Lane,81.625,492,206
AID01135,Slow Lane,86.78333333333333,387,200
AID01136,Fast Lane,82.33333333333333,682,301
AID01136,Slow Lane,78.53333333333333,439,188
AID01201,Fast Lane,64.93333333333334,1428,400
AID01201,Slow Lane,50.425,2172,601
AID01202,Fast Lane,59.708333333333336,1072,379
AID01202,Slow Lane,53.78333333333333,652,179
AID01203,Fast Lane,67.89166666666667,618,315
AID01203,Slow Lane,63.85,617,254
AID01204,Fast Lane,42.53333333333333,1141,336
AID01204,Middle Lane,45.09166666666667,1284,300
AID01204,Slow Lane,43.59166666666667,956,160
AID01206,Fast Lane,59.0,1190,524
AID01206,Slow Lane,56.0,867,334
AID01207,Fast Lane,71.28333333333333,620,330
AID01207,Middle Lane 1,53.858333333333334,543,174
AID01207,Middle Lane 2,65.11666666666666,849,384
AID01207,Slow Lane,48.53333333333333,459,67
AID01208,Fast Lane,64.05833333333334,956,348
AID01208,Slow Lane,59.94166666666667,1221,380
AID01209,Fast Lane,74.31666666666666,719,319
AID01209,Middle Lane,69.74166666666666,940,377
AID01209,Slow Lane,60.608333333333334,724,227
AID01210,Fast Lane,65.68333333333334,780,289
AID01210,Middle Lane,64.425,1040,362
AID01210,Slow Lane,61.083333333333336,522,147
AID01211,Fast Lane,71.075,828,316
AID01211,Middle Lane,68.25833333333334,1005,325
AID01211,Slow Lane,60.28333333333333,592,145
AID01212,Fast Lane,81.53333333333333,513,158
AID01212,Middle Lane,68.01666666666667,746,290
AID01212,Slow Lane,76.39166666666667,327,132
AID01213,Fast Lane,58.96666666666667,798,314
AID01213,Middle Lane 1,55.68333333333333,1275,399
AID01213,Middle Lane 2,58.59166666666667,1502,564
AID01213,Slow Lane,57.733333333333334,1172,252
AID01214,Fast Lane,51.733333333333334,1896,277
AID01214,Middle Lane,45.0,2188,483
AID01214,Slow Lane,48.86666666666667,1669,383
AID01215,Fast Lane,70.59166666666667,964,399
AID01215,Slow Lane,64.18333333333334,1318,500
AID01216,Fast Lane,77.31666666666666,609,276
AID01216,Slow Lane,73.81666666666666,838,313
AID01217,Fast Lane,72.71666666666667,601,273
AID01217,Middle Lane 1,70.13333333333334,349,184
AID01217,Middle Lane 2,68.85833333333333,770,292
AID01217,Slow Lane,74.1,123,79
AID01218,Fast Lane,71.11666666666666,687,302
AID01218,Middle Lane 2,64.58333333333333,855,266
AID01219,Fast Lane,68.48333333333333,556,210
AID01219,Slow Lane,62.391666666666666,802,260
AID01220,Fast Lane,70.01666666666667,451,172
AID01220,Slow Lane,69.53333333333333,973,290
AID01221,Fast Lane,48.3,967,201
AID01221,Middle Lane,42.666666666666664,1928,255
AID01221,Slow Lane,43.96666666666667,1533,219
AID01222,Fast Lane,70.75833333333334,319,132
AID01222,Middle Lane,63.983333333333334,980,325
AID01222,Slow Lane,53.016666666666666,1259,220
AID01223,Fast Lane,72.83333333333333,177,80
AID01223,Middle Lane,68.38333333333334,794,268
AID01223,Slow Lane,62.24166666666667,423,64
AID02104,Fast Lane,76.2,84,42
AID02104,Slow Lane,74.25,226,90
AID02105,Fast Lane,72.91666666666667,66,33
AID02105,Slow Lane,70.29166666666667,247,94
AID02106,Fast Lane,72.0,87,30
AID02106,Middle Lane,70.53333333333333,222,93
AID02106,Slow Lane,73.0,1602,674
AID02107,Fast Lane,82.9,295,153
AID02107,Middle Lane,80.01666666666667,971,411
AID02107,Slow Lane,82.81666666666666,749,295
AID02108,Fast Lane,93.38333333333334,319,190
AID02108,Middle Lane,81.44166666666666,1090,520
AID02108,Slow Lane,77.38333333333334,1154,382
AID02109,Fast Lane,99.44166666666666,281,175
AID02109,Middle Lane,91.58333333333333,1001,488
AID02109,Slow Lane,88.75,883,441
AID02110,Fast Lane,100.33333333333333,292,172
AID02110,Middle Lane,91.11666666666666,956,449
AID02110,Slow Lane,92.88333333333334,1109,505
AID02111,Fast Lane,94.75833333333334,292,157
AID02111,Middle Lane,81.65,810,371
AID02111,Slow Lane,78.96666666666667,1599,601
AID02112,Fast Lane,91.94166666666666,281,142
AID02112,Slow Lane,80.61666666666666,818,194
AID02113,Fast Lane,90.56666666666666,311,168
AID02113,Slow Lane,80.725,683,285
AID02114,Fast Lane,80.51666666666667,362,171
AID02114,Slow Lane,77.425,634,268
AID02115,Fast Lane,80.30833333333334,254,118
AID02115,Slow Lane,69.95833333333333,886,328
AID02116,Fast Lane,73.98333333333333,240,111
AID02116,Middle Lane,69.56666666666666,287,104
AID02117,Fast Lane,84.6,362,187
AID02117,Slow Lane,78.19166666666666,342,141
AID02118,Fast Lane,66.28333333333333,324,115
AID02118,Middle Lane 1,67.9,251,48
AID02118,Middle Lane 2,65.94166666666666,371,75
AID02118,Middle Lane 3,66.05,690,218
AID02118,Slow Lane,68.50833333333334,219,43
AID02119,Fast Lane,87.94166666666666,218,108
AID02119,Slow Lane,81.78333333333333,577,222
AID02120,Fast Lane,91.775,174,89
AID02120,Middle Lane 1,81.59166666666667,678,221
AID02120,Middle Lane 2,89.725,655,285
AID02120,Slow Lane,80.25,371,84
AID02121,Fast Lane,89.925,321,100
AID02121,Middle Lane,86.46666666666667,701,280
AID02121,Slow Lane,81.15833333333333,498,188
AID02122,Fast Lane,91.875,339,115
AID02122,Middle Lane,87.525,640,259
AID02122,Slow Lane,83.66666666666667,493,203
AID02123,Fast Lane,95.10833333333333,433,148
AID02123,Middle Lane,86.61666666666666,679,248
AID02123,Slow Lane,87.66666666666667,783,345
AID02124,Fast Lane,87.575,379,185
AID02124,Slow Lane,79.60833333333333,529,209
AID02125,Fast Lane,78.51666666666667,483,221
AID02125,Slow Lane,71.36666666666666,500,172
AID02126,Fast Lane,87.65,663,311
AID02126,Slow Lane,76.775,1123,437
AID02127,Fast Lane,81.95833333333333,816,313
AID02127,Slow Lane,77.66666666666667,541,194
AID02201,Fast Lane,81.8,273,136
AID02201,Slow Lane,77.01666666666667,667,268
AID02202,Fast Lane,80.325,232,112
AID02202,Slow Lane,76.33333333333333,422,167
AID02203,Fast Lane,75.23333333333333,255,112
AID02203,Slow Lane,67.85,300,109
AID02204,Fast Lane,82.94166666666666,376,171
AID02204,Slow Lane,71.39166666666667,810,289
AID02205,Fast Lane,89.675,313,170
AID02205,Slow Lane,81.65,702,297
AID02206,Fast Lane,91.31666666666666,307,169
AID02206,Slow Lane,84.075,700,294
AID02207,Fast Lane,85.05,277,172
AID02207,Middle Lane,77.21666666666667,1018,455
AID02207,Slow Lane,70.68333333333334,821,245
AID02208,Fast Lane,92.9,382,205
AID02208,Middle Lane,82.35,1079,468
AID02208,Slow Lane,74.95,839,241
AID02209,Fast Lane,98.8,322,181
AID02209,Middle Lane,88.925,950,431
AID02209,Slow Lane,79.675,917,297
AID02210,Fast Lane,100.99166666666666,289,176
AID02210,Middle Lane,91.91666666666667,893,426
AID02210,Slow Lane,83.525,803,302
AID02211,Fast Lane,94.29166666666667,250,161
AID02211,Middle Lane,86.05833333333334,737,382
AID02211,Slow Lane,77.93333333333334,921,348
AID02212,Fast Lane,77.85,200,101
AID02212,Middle Lane,73.1,1035,433
AID02212,Slow Lane,65.21666666666667,600,166
AID02214,Fast Lane,78.08333333333333,245,119
AID02214,Middle Lane 1,74.74166666666666,1233,475
AID02214,Middle Lane 2,74.19166666666666,582,226
AID02214,Slow Lane,70.81666666666666,524,85
AID02215,Fast Lane,57.49166666666667,778,254
AID02215,Slow Lane,81.65,457,183
AID03101,Fast Lane,74.91666666666667,89,33
AID03101,Middle Lane,70.48333333333333,330,103
AID03101,Slow Lane,68.13333333333334,394,139
AID03102,Fast Lane,52.125,370,83
AID03102,Slow Lane,48.625,271,55
AID03103,Fast Lane,82.85,134,59
AID03103,Slow Lane,77.06666666666666,530,244
AID03104,Fast Lane,50.025,430,87
AID03106,Fast Lane,109.4,280,98
AID03106,Middle Lane,103.75833333333334,595,265
AID03106,Slow Lane,94.10833333333333,209,66
AID03107,Fast Lane,100.16666666666667,114,67
AID03107,Middle Lane,91.00833333333334,587,290
AID03107,Slow Lane,87.63333333333334,248,68
AID03108,Fast Lane,104.39166666666667,170,95
AID03108,Middle Lane,98.46666666666667,753,413
